symbol,date,close
XMR,2017-06-13,51.80
XMR,2017-06-12,50.04
XMR,2017-06-11,58.70
XMR,2017-06-10,52.28
XMR,2017-06-09,55.62
XMR,2017-06-08,56.19
XMR,2017-06-07,52.54
XMR,2017-06-06,55.57
XMR,2017-06-05,48.26
XMR,2017-06-04,42.90
XMR,2017-06-03,42.37
XMR,2017-06-02,44.00
XMR,2017-06-01,43.70
XMR,2017-05-31,41.83
XMR,2017-05-30,39.79
XMR,2017-05-29,41.21
XMR,2017-05-28,36.84
XMR,2017-05-27,33.41
XMR,2017-05-26,38.71
XMR,2017-05-25,40.12
XMR,2017-05-24,45.38
XMR,2017-05-23,55.62
XMR,2017-05-22,36.17
XMR,2017-05-21,34.64
XMR,2017-05-20,35.10
XMR,2017-05-19,31.87
XMR,2017-05-18,30.33
XMR,2017-05-17,26.93
XMR,2017-05-16,26.26
XMR,2017-05-15,27.79
XMR,2017-05-14,28.53
XMR,2017-05-13,28.47
XMR,2017-05-12,28.68
XMR,2017-05-11,29.51
XMR,2017-05-10,29.84
XMR,2017-05-09,28.66
XMR,2017-05-08,30.47
XMR,2017-05-07,32.78
XMR,2017-05-06,28.98
XMR,2017-05-05,28.45
XMR,2017-05-04,25.99
XMR,2017-05-03,25.20
XMR,2017-05-02,23.04
XMR,2017-05-01,22.77
XMR,2017-04-30,23.72
XMR,2017-04-29,22.76
XMR,2017-04-28,22.35
XMR,2017-04-27,21.21
XMR,2017-04-26,19.37
XMR,2017-04-25,19.65
XMR,2017-04-24,19.56
XMR,2017-04-23,19.72
XMR,2017-04-22,20.12
XMR,2017-04-21,20.29
XMR,2017-04-20,20.24
XMR,2017-04-19,20.39
XMR,2017-04-18,21.06
XMR,2017-04-17,20.56
XMR,2017-04-16,20.46
XMR,2017-04-15,20.71
XMR,2017-04-14,20.59
XMR,2017-04-13,21.48
XMR,2017-04-12,21.76
XMR,2017-04-11,21.36
XMR,2017-04-10,21.83
XMR,2017-04-09,20.68
XMR,2017-04-08,20.83
XMR,2017-04-07,19.39
XMR,2017-04-06,19.27
XMR,2017-04-05,19.62
XMR,2017-04-04,21.35
XMR,2017-04-03,20.33
XMR,2017-04-02,20.14
XMR,2017-04-01,21.50
XMR,2017-03-31,20.54
XMR,2017-03-30,20.88
XMR,2017-03-29,21.14
XMR,2017-03-28,19.81
XMR,2017-03-27,19.66
XMR,2017-03-26,19.61
XMR,2017-03-25,20.14
XMR,2017-03-24,21.10
XMR,2017-03-23,21.82
XMR,2017-03-22,21.42
XMR,2017-03-21,21.29
XMR,2017-03-20,22.51
XMR,2017-03-19,23.29
XMR,2017-03-18,20.07
XMR,2017-03-17,22.35
XMR,2017-03-16,22.48
XMR,2017-03-15,18.98
XMR,2017-03-14,17.76
XMR,2017-03-13,18.13
XMR,2017-03-12,16.79
XMR,2017-03-11,14.69
XMR,2017-03-10,13.21
XMR,2017-03-09,13.03
XMR,2017-03-08,12.47
XMR,2017-03-07,13.53
XMR,2017-03-06,15.41
XMR,2017-03-05,15.18
XMR,2017-03-04,13.67
XMR,2017-03-03,13.91
XMR,2017-03-02,13.11
XMR,2017-03-01,12.33
XMR,2017-02-28,12.28
XMR,2017-02-27,11.96
XMR,2017-02-26,11.89
XMR,2017-02-25,11.85
XMR,2017-02-24,11.92
XMR,2017-02-23,12.87
XMR,2017-02-22,12.77
XMR,2017-02-21,12.34
XMR,2017-02-20,12.22
XMR,2017-02-19,12.99
XMR,2017-02-18,13.36
